Fp_img,Bn_img,Date,Type_img,Z_m,Tide,Date_h,Dir_m,Tp_m,Hs_m,bathy,X_Y,Lum_pix
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-20-10-15-00-000_zplane_3.5_R_blended_timex.png,biarritz_3_2_1_2021-06-20-10-15-00-000_zplane_3.5_R_blended_timex.png,2021-06-20 10:15:00,timex,3.5,3.5725,2021-06-20 11,307.5,8.709999805316329,0.9499999787658452,2021-06-21,"(80, 100)",168
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-28-17-00-00-000_zplane_4.1_blended_timex.png,biarritz_3_2_1_2017-03-28-17-00-00-000_zplane_4.1_blended_timex.png,2017-03-28 17:00:00,timex,4.1,4.0643,2017-03-28 18,292.5,12.639999717473984,1.0399999767541883,2017-03-27,"(70, 70)",157
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-03-14-30-00-000_zplane_1.5_R_blended_snap.png,biarritz_3_2_1_2021-03-03-14-30-00-000_zplane_1.5_R_blended_snap.png,2021-03-03 14:30:00,snap,1.5,1.4579,2021-03-03 15,291.8,12.42999972216785,1.269999971613288,2021-03-03,"(70, 70)",173
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-05-07-15-00-000_zplane_3.9_R_blended_snap.png,biarritz_3_2_1_2021-03-05-07-15-00-000_zplane_3.9_R_blended_snap.png,2021-03-05 07:15:00,snap,3.9,3.8191,2021-03-05 08,292.5,13.429999699816108,0.7599999830126762,2021-03-03,"(70, 70)",193
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2018-01-30-13-15-00-000_zplane_3.7_R_blended_snap.png,biarritz_3_2_1_2018-01-30-13-15-00-000_zplane_3.7_R_blended_snap.png,2018-01-30 13:15:00,snap,3.7,3.79,2018-01-30 14,307.5,13.039999708533289,1.8699999582022429,2018-01-31,"(70, 70)",157
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-27-17-45-00-000_zplane_3.1_blended_timex.png,biarritz_3_2_1_2017-03-27-17-45-00-000_zplane_3.1_blended_timex.png,2017-03-27 17:45:00,timex,3.1,3.0065,2017-03-27 18,307.5,14.569999674335122,0.7999999821186066,2017-03-27,"(70, 70)",165
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2018-01-31-11-15-00-000_zplane_1.3_R_blended_snap.png,biarritz_3_2_1_2018-01-31-11-15-00-000_zplane_1.3_R_blended_snap.png,2018-01-31 11:15:00,snap,1.3,1.33,2018-01-31 12,307.5,11.57999974116683,1.4499999675899744,2018-01-31,"(70, 70)",145
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-19-18-15-00-000_zplane_2.1_R_blended_snap.png,biarritz_3_2_1_2021-06-19-18-15-00-000_zplane_2.1_R_blended_snap.png,2021-06-19 18:15:00,snap,2.1,2.0037,2021-06-19 19,307.5,8.989999799057841,1.2599999718368051,2021-06-21,"(80, 100)",119
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-21-04-45-00-000_zplane_1.5_R_blended_snap.png,biarritz_3_2_1_2021-06-21-04-45-00-000_zplane_1.5_R_blended_snap.png,2021-06-21 04:45:00,snap,1.5,1.5655,2021-06-21 05,292.5,11.219999749213455,1.529999965801835,2021-06-21,"(80, 100)",137
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-28-18-30-00-000_zplane_2.9_blended_timex.png,biarritz_3_2_1_2017-03-28-18-30-00-000_zplane_2.9_blended_timex.png,2017-03-28 18:30:00,timex,2.9,2.8759,2017-03-28 19,292.5,12.499999720603228,1.0399999767541883,2017-03-27,"(70, 70)",160
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-19-17-45-00-000_zplane_1.9_R_blended_timex.png,biarritz_3_2_1_2021-06-19-17-45-00-000_zplane_1.9_R_blended_timex.png,2021-06-19 17:45:00,timex,1.9,1.825,2021-06-19 18,307.5,8.999999798834324,1.3099999707192185,2021-06-21,"(80, 100)",140
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-01-16-45-00-000_zplane_4.5_R_blended_timex.png,biarritz_3_2_1_2021-03-01-16-45-00-000_zplane_4.5_R_blended_timex.png,2021-03-01 16:45:00,timex,4.5,4.4097,2021-03-01 17,292.5,15.60999965108931,1.289999971166253,2021-03-03,"(70, 70)",178
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-05-11-15-00-000_zplane_2.5_R_blended_snap.png,biarritz_3_2_1_2021-03-05-11-15-00-000_zplane_2.5_R_blended_snap.png,2021-03-05 11:15:00,snap,2.5,2.478,2021-03-05 12,292.5,13.929999688640237,0.8699999805539846,2021-03-03,"(70, 70)",165
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2018-01-29-14-00-00-000_zplane_4.1_R_blended_snap.png,biarritz_3_2_1_2018-01-29-14-00-00-000_zplane_4.1_R_blended_snap.png,2018-01-29 14:00:00,snap,4.1,4.03,2018-01-29 15,307.5,12.879999712109566,1.969999955967069,2018-01-31,"(70, 70)",167
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-20-07-30-00-000_zplane_2.1_R_blended_snap.png,biarritz_3_2_1_2021-06-20-07-30-00-000_zplane_2.1_R_blended_snap.png,2021-06-20 07:30:00,snap,2.1,2.1151,2021-06-20 08,307.5,8.799999803304672,0.9499999787658452,2021-06-21,"(80, 100)",146
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-09-45-00-000_zplane_1.9_blended_timex.png,biarritz_3_2_1_2017-03-25-09-45-00-000_zplane_1.9_blended_timex.png,2017-03-25 09:45:00,timex,1.9,1.8129,2017-03-25 10,322.5,11.099999751895666,1.1899999734014273,2017-03-27,"(70, 70)",140
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-01-16-15-00-000_zplane_4.1_R_blended_snap.png,biarritz_3_2_1_2021-03-01-16-15-00-000_zplane_4.1_R_blended_snap.png,2021-03-01 16:15:00,snap,4.1,4.1832,2021-03-01 17,292.5,15.60999965108931,1.289999971166253,2021-03-03,"(70, 70)",194
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-06-19-06-15-00-000_zplane_2.1_R_blended_snap.png,biarritz_3_2_1_2021-06-19-06-15-00-000_zplane_2.1_R_blended_snap.png,2021-06-19 06:15:00,snap,2.1,2.0214,2021-06-19 07,307.5,10.089999774470924,1.479999966919422,2021-06-21,"(80, 100)",135
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-29-07-45-00-000_zplane_1.9_blended_snap.png,biarritz_3_2_1_2017-03-29-07-45-00-000_zplane_1.9_blended_snap.png,2017-03-29 07:45:00,snap,1.9,1.9251,2017-03-29 08,291.2,10.279999770224094,0.9199999794363976,2017-03-27,"(70, 70)",141
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2021-03-05-11-30-00-000_zplane_2.3_R_blended_snap.png,biarritz_3_2_1_2021-03-05-11-30-00-000_zplane_2.3_R_blended_snap.png,2021-03-05 11:30:00,snap,2.3,2.2879,2021-03-05 12,292.5,13.929999688640237,0.8699999805539846,2021-03-03,"(70, 70)",165
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-29-15-00-00-000_zplane_3.9_blended_timex.png,biarritz_3_2_1_2017-03-29-15-00-00-000_zplane_3.9_blended_timex.png,2017-03-29 15:00:00,timex,3.9,3.901,2017-03-29 16,277.5,18.519999586045746,1.2599999718368051,2017-03-27,"(70, 70)",124
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2018-01-29-08-45-00-000_zplane_1.3_R_blended_snap.png,biarritz_3_2_1_2018-01-29-08-45-00-000_zplane_1.3_R_blended_snap.png,2018-01-29 08:45:00,snap,1.3,1.21,2018-01-29 09,307.5,12.81999971345067,1.959999956190586,2018-01-31,"(70, 70)",106
