Fp_img,Bn_img,Date,Type_img,Z_m,Tide,Date_h,Dir_m,Tp_m,Hs_m,bathy,X_Y,Lum_pix,Split,Hs_c,Tp_c,Dir_c,Tide_c
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-15-00-000_zplane_1.5_blended_timex.png,biarritz_3_2_1_2017-03-25-06-15-00-000_zplane_1.5_blended_timex.png,2017-03-25 06:15:00,timex,1.5,1.5166,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",131,Test,0.15830115830115832,0.25283630470016194,1.0,0.1456684984319705
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-15-00-000_zplane_1.5_blended_snap.png,biarritz_3_2_1_2017-03-25-06-15-00-000_zplane_1.5_blended_snap.png,2017-03-25 06:15:00,snap,1.5,1.5166,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",116,Test,0.15830115830115832,0.25283630470016194,1.0,0.1456684984319705
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-30-00-000_zplane_1.3_blended_timex.png,biarritz_3_2_1_2017-03-25-06-30-00-000_zplane_1.3_blended_timex.png,2017-03-25 06:30:00,timex,1.3,1.3946,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",148,Test,0.15830115830115832,0.25283630470016194,1.0,0.11056765543631497
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-30-00-000_zplane_1.3_blended_snap.png,biarritz_3_2_1_2017-03-25-06-30-00-000_zplane_1.3_blended_snap.png,2017-03-25 06:30:00,snap,1.3,1.3946,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",152,Test,0.15830115830115832,0.25283630470016194,1.0,0.11056765543631497
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-45-00-000_zplane_1.3_blended_snap.png,biarritz_3_2_1_2017-03-25-06-45-00-000_zplane_1.3_blended_snap.png,2017-03-25 06:45:00,snap,1.3,1.3017,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",146,Test,0.15830115830115832,0.25283630470016194,1.0,0.08383922663060678
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-06-45-00-000_zplane_1.3_blended_timex.png,biarritz_3_2_1_2017-03-25-06-45-00-000_zplane_1.3_blended_timex.png,2017-03-25 06:45:00,timex,1.3,1.3017,2017-03-25 07,322.5,10.909999756142495,1.169999973848462,2017-03-27,"(70, 70)",145,Test,0.15830115830115832,0.25283630470016194,1.0,0.08383922663060678
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-07-00-00-000_zplane_1.3_blended_snap.png,biarritz_3_2_1_2017-03-25-07-00-00-000_zplane_1.3_blended_snap.png,2017-03-25 07:00:00,snap,1.3,1.2378,2017-03-25 08,322.5,10.99999975413084,1.179999973624945,2017-03-27,"(70, 70)",131,Test,0.16216216216216228,0.26012965964343593,1.0,0.06545444083206259
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-07-00-00-000_zplane_1.3_blended_timex.png,biarritz_3_2_1_2017-03-25-07-00-00-000_zplane_1.3_blended_timex.png,2017-03-25 07:00:00,timex,1.3,1.2378,2017-03-25 08,322.5,10.99999975413084,1.179999973624945,2017-03-27,"(70, 70)",142,Test,0.16216216216216228,0.26012965964343593,1.0,0.06545444083206259
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-07-15-00-000_zplane_1.1_blended_timex.png,biarritz_3_2_1_2017-03-25-07-15-00-000_zplane_1.1_blended_timex.png,2017-03-25 07:15:00,timex,1.1,1.1973,2017-03-25 08,322.5,10.99999975413084,1.179999973624945,2017-03-27,"(70, 70)",149,Test,0.16216216216216228,0.26012965964343593,1.0,0.05380211180481631
/home/aurelien/Desktop/Orthorectification/Ortho_CNN/biarritz_3_2_1_2017-03-25-07-15-00-000_zplane_1.1_blended_snap.png,biarritz_3_2_1_2017-03-25-07-15-00-000_zplane_1.1_blended_snap.png,2017-03-25 07:15:00,snap,1.1,1.1973,2017-03-25 08,322.5,10.99999975413084,1.179999973624945,2017-03-27,"(70, 70)",150,Test,0.16216216216216228,0.26012965964343593,1.0,0.05380211180481631
